Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MO,63135,,Consent not provided,Web,11/25/2017,Closed with explanation,Yes,,2737787
4/22/2018,Student loan,Federal student loan servicing,Incorrect information on your report,Old information reappears or never goes away,I went to XXXX XXXX  college in XX/XX/1995. The college went out of business and I never got a degree,,GRANITE STATE MANAGEMENT & RESOURCES,TX,76004,,Consent provided,Web,4/22/2018,Closed with explanation,Yes,,2883057
9/21/2016,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IA,50310,,Consent not provided,Web,9/21/2016,Closed with explanation,Yes,No,2122979
9/8/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,"XXXX has sold a debt they believe to be valid to a collections agency. That agency has repeatedly called me at approximately XXXX, well outside of acceptable times. The collections agency claims they are calling based on the phone number on the account being a number located in the XXXX Zone, but the account with XXXX has always had, and continues to have, a mailing address in XXXX, CA, located in XXXX XXXX. There is no reason that the collections agency should be contacting me outside of XXXX to XXXX XXXX XXXX, given that they clearly have my correct address and location. 

As evidence, I have presented a screenshot of recent calls over a 2 day period from the number claiming to be the collections agency. If necessary, I can provide evidence through XXXX XXXX XXXX current provider of the phone number being called/harassed ) of dozens of calls, every weekday for several months.",,"Diversified Consultants, Inc.",CA,945XX,,Consent provided,Web,9/11/2015,Closed with explanation,Yes,No,1555872
10/1/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,JPMORGAN CHASE & CO.,AZ,856XX,,,Phone,10/2/2013,Closed with explanation,Yes,No,549995
1/10/2018,Debt collection,I do not know,Took or threatened to take negative or legal action,Collected or attempted to collect exempt funds,,,Select Resource Group,MS,39215,,Consent not provided,Web,1/10/2018,Untimely response,No,,2777588
6/19/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"I have had a recurrent issue with getting a resolution regarding the inquiries on my credit report with the  Transunioncredit bure au. I have sent a notarized letter and have spoke with representatives on several occasions. There are hard inquiries on my credit report that I did not authorize and not aware of the company at all. The credit bureau has failed to properly investigate this issue and has sent me a generic letter stating that the inquiries are accurate but they have failed to send me proof of the accuracy. The inquiries that have been disputed and not resolved are the following :  XXXX   XXXX ,  XXXX   XXXX ,  XXXX   XXXX ,  XXXX   XXXX ,  XXXX ,  XXXX ,  XXXX ,  XXXX   XXXX   XXXX  and  XXXX . I appreciate CFPB looking into this matter further.     Best Regards,  XXXX   XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,335XX,,Consent provided,Web,6/19/2017,Closed with explanation,Yes,,2553030
8/12/2015,Credit card,,Unsolicited issuance of credit card,,"For almost 10 years now I have been contacting and fighting with the credit bureaus as well as Discover Financial over an erroneous entry on my credit report. It is STILL listed on my account and never should have been in the first place. 
XXXX XXXX XXXX opened up an account with Discover Financial and without my knowledge or consent listed me as an authorized user on her account. I found this out several years ago and not only did I contact Discover, she did as well and I also submitted complaints to the XXXX credit bureaus. I again did this in 2011 when I discovered it on my credit history and to this day it has not been removed. 
To my knowledge it was never late, but it is an account affecting my credit and not one of these agencies has done anything to correct the error to this day.",,DISCOVER BANK,NJ,080XX,,Consent provided,Web,8/12/2015,Closed with non-monetary relief,Yes,No,1514500
12/24/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IL,60443,,Consent not provided,Web,12/24/2018,Closed with non-monetary relief,Yes,,3108451
6/11/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,92223,,,Fax,6/20/2014,Closed with explanation,Yes,No,889520
2/15/2012,Credit card,,Rewards,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33433,Older American,,Web,2/17/2012,Closed without relief,Yes,Yes,23920
6/28/2017,Vehicle loan or lease,Loan,Problems at the end of the loan or lease,Unable to receive car title or other problem after the loan is paid off,,,SANTANDER CONSUMER USA HOLDINGS INC.,AZ,853XX,,Other,Web,6/28/2017,Closed with explanation,Yes,,2561046
6/23/2016,Bank account or service,Other bank product/service,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NC,282XX,,,Referral,6/27/2016,Closed with explanation,Yes,Yes,1982074
9/11/2018,Vehicle loan or lease,Loan,Struggling to pay your loan,Loan balance remaining after the vehicle is repossessed and sold,,,"Collins & Hilton Asset Group, LLC",TX,77379,,Consent not provided,Web,9/11/2018,Closed with explanation,Yes,,3016445
5/18/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company chooses not to provide a public response,"FAIR COLLECTIONS & OUTSOURCING, INC.",VA,201XX,,Other,Web,5/18/2015,Closed with explanation,Yes,Yes,1380424
7/2/2016,Credit reporting,,Incorrect information on credit report,Account status,I sent XXXX XXXX XXXX a creditors validation letter to inform me about the collection they have in their office under my name. Accordingly to the FDCPA they had 30 days to respond back to me but they fail to do so. They was suppose to contact Equifax Credit Reporting Bureau in order to remove the debt from my credit report. Below are the documents I sent and the tracking Information. Alone with the deltion letter that should have been sent to Equifax.,,"EQUIFAX, INC.",TX,770XX,,Consent provided,Web,7/2/2016,Closed with explanation,Yes,No,1995651
3/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,334XX,,Other,Web,3/1/2019,Closed with explanation,Yes,,3166755
2/25/2014,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian Information Solutions Inc.,NJ,085XX,,,Web,2/24/2014,Closed with explanation,Yes,No,730122
11/15/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CORELOGIC INC,TX,770XX,,Consent not provided,Web,11/15/2017,Closed with explanation,Yes,,2730404
8/19/2013,Credit card,,Arbitration,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",OK,73170,,,Web,8/19/2013,Closed with explanation,Yes,No,495665
9/14/2015,Mortgage,Other mortgage,"Application, originator, mortgage broker",,"This message is a follow up to complaint # XXXX with the intent of modifying the "" desired resolution ''. To recap the issue, my wife and I applied for a construction loan with BB & T bank in North Carolina. We spoke with the mortgage loan officer on XX/XX/2015, clarified our need for a construction loan for XXXX the cost of construction. We submitted all documents on XX/XX/XXXX requested from BB & T in their letter of XX/XX/2015. We were told by our loan officer that the loan would be processed in one week. I stated clearly that if there was any chance that the loan would not be approved, I did not want to go through with the appraisal at a cost of {$430.00}. I was assured that if the appraisal was ordered, our loan would be approved. 

There was not one representation made by BB & T that held true. They lied about the appraisal, they lied about the passive income limits from our retirement accounts, they lied about the loan to value ratio requirements, they lied about not having received documentation from us, and they lied about closing dates. 

We continued to be strung along by this group of unprofessionals for XXXX months with excuses about the underwriters and the loan processors "" not communicating ''. We then reached our planned spending limit of XXXX the construction cost from our savings with new promises of closing on XXXX XXXX, 2015. XXXX days after being told the closing needed rescheduling, we were told that due to time limits on documentation, we would need to resubmit financial statements. This tactic occurred XXXX times. 

My wife and I finally decided to drop our efforts to close the loan one day after filing our previous complaint to this agency. That day, I spoke with XXXX XXXX, XXXX Manager, and had the same false assurances repeated that had been made by XXXX of her XXXX underlings. Once again we were told that financial documents previously submitted to the bank, would need to be submitted. At this point I realized that our efforts were in vain. 

I have been in and around the construction industry for XXXX years and have worked with at least XXXX other financial institutions with construction loans for projects/homes I have constructed ( all successfully ) and I have never seen anything like the incompetence and outright misrepresentation of the truth as exhibited by the entire chain of command at BB & T. 

I strongly urge anyone considering a construction loan to look elsewhere.",Company chooses not to provide a public response,BB&T CORPORATION,NC,28813,,Consent provided,Web,9/14/2015,Closed with explanation,Yes,No,1564282
6/8/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MI,488XX,,,Web,6/9/2014,Closed with explanation,Yes,No,885814
11/1/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,926XX,,Consent not provided,Web,11/1/2018,Closed with explanation,Yes,,3063236
2/5/2019,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30517,,,Phone,2/17/2019,Closed with explanation,Yes,,3143314
1/9/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,Credit Bureau Services Association,NC,279XX,,Consent not provided,Web,1/9/2017,Closed with explanation,Yes,No,2280220
2/20/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,Allied Interstate LLC,WI,53219,,,Web,2/27/2014,Closed with non-monetary relief,Yes,No,723389
5/22/2017,Checking or savings account,Checking account,Opening an account,Account opened as a result of fraud,,,BBVA COMPASS FINANCIAL CORPORATION,FL,33330,,,Phone,5/22/2017,Closed with explanation,Yes,,2490672
2/28/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48076,,,Fax,3/4/2014,Closed with explanation,Yes,No,739364
7/15/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,PNC Bank N.A.,OH,45140,,,Web,7/18/2013,Closed with explanation,Yes,No,457654
10/24/2016,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",AZ,85711,,,Referral,10/26/2016,Closed with monetary relief,Yes,No,2176316
1/21/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",FL,347XX,,Consent not provided,Web,1/21/2018,Closed with explanation,Yes,,2788118
2/3/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,604XX,,,Web,2/5/2013,Closed with explanation,Yes,No,289833
6/26/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,06118,,,Web,6/28/2012,Closed with non-monetary relief,Yes,Yes,107878
9/14/2017,Debt collection,Other debt,Written notification about debt,Didn't receive enough information to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,FL,33594,,Consent not provided,Web,9/14/2017,Closed with explanation,Yes,,2674395
9/3/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,RI,02920,,,Fax,9/9/2013,Closed with explanation,Yes,No,512690
9/12/2017,Checking or savings account,Other banking product or service,Managing an account,Problem using a debit or ATM card,,,PNC Bank N.A.,NJ,08050,,,Referral,9/12/2017,Closed with explanation,Yes,,2670248
10/14/2013,Mortgage,Other mortgage,Settlement process and costs,,,,"CITIZENS FINANCIAL GROUP, INC.",MI,48371,,,Web,10/15/2013,Closed with explanation,Yes,No,558437
6/21/2018,Checking or savings account,Checking account,Closing an account,Company closed your account,,,JPMORGAN CHASE & CO.,NY,10456,,,Postal mail,6/21/2018,Closed with explanation,Yes,,2942013
11/1/2016,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IN,46360,,,Postal mail,11/2/2016,Closed with non-monetary relief,Yes,No,2188776
5/17/2018,Mortgage,Conventional home mortgage,Closing on a mortgage,,,,JPMORGAN CHASE & CO.,,,,Consent not provided,Web,5/17/2018,Closed with explanation,Yes,,2910050
7/29/2017,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,"I am writing to request correction of the errors described below regarding the mortgage on our property. Background information : On XX/XX/XXXX, we contacted Wells Fargo Home Mortgage to fill out an application for a Modification. We spoke with the Home Preservation Specialist # 1, who worked with us throughout the start of this process. She worked with us from XX/XX/XXXX through XX/XX/XXXX, until we were informed our new Preservation Specialist # 2. 1. During the process with Specialist # 1 we were told we did not qualify for the Modification, but would be considered for a Deferral Agreement. She informed us that to qualify, we would have to make 3 consecutive monthly payments of {$1500.00} on XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX, which we did. Following she would inform us of the new payment amount until the processing of the signed paperwork for the Deferral is completed. 2. Upon calling Specialist # 1 on XX/XX/XXXX about the Deferral Agreement letter we received, which stated our next payment is due in XX/XX/XXXX, she confirmed the letter and said hereafter our payments would be due on the XXXX of each month. She further stated she would provide the amount to be paid until the paperwork was finalized with the underwriter. Specialist # 1 inform us to skip XX/XX/XXXX payment and to make the next payment of {$960.00} on XX/XX/XXXX. This payment was also paid. 3. On XX/XX/XXXX, we received another Deferral Agreement, which Specialist # 1 said had to be sign because the first one was wrong. This agreement stated our next payment was XX/XX/XXXX. We called and left a message but was unable to contact her for the payment amount to be made. 4. On XX/XX/XXXX we call to make our monthly payment and was transferred to Specialist # 2, who after conversation told us our payment of {$910.00} was past due on XX/XX/XXXX. We explained we were told to make payments by the XXXX each month. She restated that it was due on XX/XX/XXXX. We made the payment of {$910.00} on XX/XX/XXXX. We explained we had received a statement in the mail saying the new monthly payment amount would be {$810.00}. She stated it was {$910.00} was due on the XXXX of each month until the paperwork was completed and signed off by her. We were also told not to speak with customer service, because they would not know the details because they do not have accesses to Home Preservation files. 5. As instructed, on XXXX XXXX, XXXX we called Specialist # 2 and made the payment of XXXX XXXX 6. On XX/XX/XXXX, we received a Congratulatory Letter from Wells Fargo stating we have completed the payment assistance process, and Confirmation of Preferred Payment Plan enrollment stating our first electronic withdrawal would be on XX/XX/XXXX for {$810.00}, and continue each month thereafter on the same day, a monthly mortgage payment would be withdrawn. Simultaneously, we received another monthly statement that stated our payment is due on XX/XX/XXXX for {$810.00}. It also stated we had a past due balance of {$1600.00}. This was a red flag, and is where the confusion began. 7. We immediately called XXXX . Specialist # 2 to assess what was our actual payment and date, but a message stated she would be out of the office until XX/XX/XXXX. We were told to speak with another Preservation Specialist. We dialed back in and spoke to another preservation specialist who could not help because she was saying out payment due was {$1800.00}. 8. As well, we asked why did the account have a balance? She researched and stated we did make a XX/XX/XXXX payment. We explained we were told by Specialist # 1 our next payment was due XX/XX/XXXX and not XX/XX/XXXX. 9. We also wanted to know if we should continue making the payment with Specialist # 2 for {$910.00} or the new payment of {$810.00} on XX/XX/XXXX, or should we wait for the automatic withdrawal on XX/XX/XXXX. 10. After trying to explain to her what we were told to pay and her trying to assist, she was unsuccessful and decided to transfer us to a supervisor ; however, after waiting for about 15 minutes, a supervisor was not available. She then transferred us to someone in Executive Offices. We left a message explaining our situation and requesting a call back. 11. On XX/XX/XXXX XXXX XXXX called back. He stated we were at the highest level and would assist us. We explained our situation trying to finalize if we should make the payment with him because Specialist # 2 was on vacation or should we wait for the automatic withdrawal on XX/XX/XXXX. A. ) He told us to wait for the automatic withdrawal. B ). He took our statement to research why we were told not to make a payment in XX/XX/XXXX, and C ). He stated he would research our concern of the outstanding past due. We also explained this had affected our credit scores negatively because it was reported we were late since XX/XX/XXXX. 12. He promised to research this and get back to us in 5-10 business days. We called him again on XX/XX/XXXX to see if we should go ahead and make our XX/XX/XXXX payment which was due, because it had not been withdrawn for our account. He returned the call and stated he was still working on our case and not to make the payment that it would be taken out soon. On XX/XX/XXXX, he called and stated not to make the payment, and to inform us that we are on a bi-weekly payment in the amount of {$810.00}. He also stated that we have a back balance for XX/XX/XXXX and for XX/XX/XXXX in the amount of {$3200.00}. We stated our concerns about our affected negative credit scores, the Preservation Specialists statement and the letter we received stating our payments were monthly not bi-weekly, and that we did not understand nor have {$3200.00} to pay. We followed the instructions given and paid what we were told to complete the trial period and the payments amounts we were told we had to pay. We said we have the monthly payment of {$910.00} or {$810.00} which we were told to pay. He said he was still researching it and would remove all the late fees, and had requested from the credit company that our mortgage be suppressed until everything was cleared up. He said the suppression would take affect within 90 days and if there was still negative credit reporting following that time, we were to contact him and he would have it removed. 13. On XX/XX/XXXX XXXX XXXX called again to say our payments of {$810.00} were bi-weekly and we have a balance of {$3200.00}. He said while he was still investigating our case, we should consider making payment because it would not be deducted for our bank account. We explained that we do not have that amount of money. We have the monthly payment of {$910.00} or {$810.00} which we were told to pay in our possession. He stated that the account would be in foreclosure after 90 days. We told him the Congratulatory Letter stated that our new payment is {$810.00} monthly. He stated the letter was a mistake. We asked what happened to finding out why we were told not to make the XX/XX/XXXX payment. He said he was still researching it and would call us back on Monday, XX/XX/XXXX. 14. On XX/XX/XXXX, we made the XX/XX/XXXX monthly payment of {$810.00} although we were told not to because we dont want it to be considered a late payment. Please help us resolve these issues : We can not make a {$3200.00} payment, and we can not afford a bi-monthly payment of {$910.00} or {$810.00}. This is close to what we were paying when we requested the modification, because we were behind in our mortgage. We would like an accurate account of our actual monthly payments and the actual payment date so we can keep our home for our family. We would like Wells Fargo to retract the negative credit reporting, which dropped our credit scores. We would like to know why were we given an escrow assessment and new monthly payment plan of {$810.00}. Why were we given an escrow refund of {$260.00} in XX/XX/XXXX if we owed Wells Fargo {$3200.00}? Why were we told by the Preservation Specialist, Specialist # 1 not to make the XX/XX/XXXX payment, which Wells Fargo Mortgage now says we owe and has negatively affected our credit reports? Why did XXXX XXXX say the Congratulatory letter and Confirmation of Preferred Payment Plan letter we received were a mistake? Please contact us to resolve this very important matter.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,PA,191XX,,Consent provided,Web,7/29/2017,Closed with monetary relief,Yes,,2588570
7/26/2016,Credit card,,Billing disputes,,"I had bought a laptop from XXXX using my chase credit card mileage explorer. The laptop was defective and i contacted dell to return it. It was returned ot them via return courier. 
I did not receive any refund from XXXX. Therefore I contacted Chase to file a dispute with XXXX to get my money back but they did not dispute with the merchant",,JPMORGAN CHASE & CO.,IL,600XX,,Consent provided,Web,7/26/2016,Closed with explanation,Yes,No,2029163
8/6/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,GA,30233,,,Referral,8/7/2013,Closed with explanation,Yes,No,481969
12/16/2014,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,ConServe,MI,48076,,,Web,12/16/2014,Closed with explanation,Yes,No,1158203
4/24/2013,Credit card,,APR or interest rate,,,,CAPITAL ONE FINANCIAL CORPORATION,OH,44708,,,Web,4/24/2013,Closed with monetary relief,Yes,No,389213
3/12/2019,Debt collection,Other debt,Took or threatened to take negative or legal action,Threatened to arrest you or take you to jail if you do not pay,,,"A & O Recovery Solutions, LLC",FL,32177,,Consent not provided,Web,3/12/2019,Untimely response,No,,3177091
3/29/2016,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"I took out XXXX loans in XXXX and XXXX to supplement my federal loans. The total was {$8100.00}. My Dad helped me out and paid the set payment fee for two years ; this was approximately {$80.00} a month split between the XXXX loans. The interest rate has constantly changes around XXXX depending on which loan. It has now been 10 years and I have barely made a dent on the loan. As of XXXX XXXX I was told I would have XXXX more months of repayments-14.5 more years at {$65.00} a month. I am not the best at math but with an interest rate at 4 % I would have {$230.00} in interest a year, {$19.00} a month and yet, when I have been paying {$100.00} a month ( recently ) only {$43.00} knocked off the balance. Where does the other {$57.00} go to? 29.6 % interest? As of XXXX XXXX they started combining the loan information onto XXXX statement. Then I noticed that my payment statement shows the {$100.00} payments but that only {$55.00} has been applied each month. I do n't know where the rest of the money is going to. When you call AES you get mysterious hang ups/long wait hold times over an hour, etc. A person is given the run around. my loan balance is {$5700.00} from {$8100.00} in 10 years of payments! That was {$7200.00} ( at least because multiple payments over the monthly payment due ) in that time period. If my calculations are correct, interest at 4 % on the principal balance to start would have been {$320.00} a year which of course decreases with payments. Even with that, that would be {$3200.00} in interest over 10 years meaning I have paid ( at least ) {$3900.00} off on my loan. Yet, according to my statement I have only paid off {$2300.00}. Please help, I am doing all I can to be responsible but this is disheartening on top of the federal loans I have to shoulder. Thank you!",,AES/PHEAA,NY,140XX,,Consent provided,Web,3/29/2016,Closed with explanation,Yes,Yes,1854764
1/22/2018,"Money transfer, virtual currency, or money service",International money transfer,Fraud or scam,,I SENT A WIRE TRANSFER TO MERIDIAN FINANCIAL SOLUTION XXXX AND THEY NEVER DID WHAT THEY WERE SUPPOSE TO DO FOR ME. I CALL THEM AND THEY PUT ME ON HOLD FOR 45 MIN EVERY TIME AND I END UP HANGING UP AND HAVING TO CALL BACK AND THE SAME THING OR THEY SAY THE PERSON I NEED TO SPEAK TO IS NOT THERE TODAY. WHEN I DO TALK TO THEM THEY LIE AND TELL ME MY MONEY WAS DEPOSITED IN MY ACCOUNT AND WHEN I LOOK IN MY ACCOUNT ITS NOT THERE. IM SO TIRED OF THIS AND I PAID THEM ALOT OF MONEY THAT I DONT HAVE I WANT MY MONEY BACK. THIS JUST ISNT RIGHT WHAT THEY ARE DOING TO ME. I HOPE THEY GET CLOSED DOWN. I AM TIRED OF THIS GAME THEY ARE PLAYING WITH ME. I WANT MY MONEY BACK,,Meridian Financial Solutions Inc,SC,291XX,,Consent provided,Web,1/22/2018,Untimely response,No,,2789550
3/6/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,,,"National Commercial Services, Inc",MD,20744,,,Web,3/6/2014,Closed with explanation,Yes,No,748092
9/25/2012,Student loan,Non-federal student loan,Repaying your loan,,,,"CITIBANK, N.A.",NY,14616,,,Referral,9/26/2012,Closed with explanation,Yes,No,160041
9/18/2018,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,"Today I recieved the letter from Bayview Loan Servicing about "" Notice of Default and Intent to Accelerate '' alerting me that I'm in risk of default because I missed the payments since XX/XX/XXXX. Even though, when the loan modification was signed they adjusted the interest to 4 % and now they are trying to put me in default. 

A complain is already opened for them to adjust to 4 % instead of 5.62 % because they assumed it was a clerical error. It is definitely not an clerical error which they are trying to put me under default so they can proceed to foreclosure. Since the first modification I have made payments on time and now they are claiming I'am in default in the amount of {$20000.00}.",,"BAYVIEW LOAN SERVICING, LLC",CA,903XX,,Consent provided,Web,9/18/2018,Closed with explanation,Yes,,3020858
2/13/2017,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NJ,076XX,,,Referral,2/16/2017,Closed with explanation,Yes,No,2342243
8/10/2018,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,"XX/XX/2017 I reviewed my credit reports and found that there was an inaccurate report of an account that was not mine. 
As a previous victim of ID Theft on XX/XX/2017 I contacted the company reporting the account in writing and delivered by certified mail requesting full validation pursuant to the Fair Debt Collection Practices Act and the Fair Credit Reporting Act. My request for validation included competent evidence bearing my signature and instrument used to secure a contractual agreement where I am obligated to pay you. 
I made it clear in my letter that the negative marks found on my credit report from the ( 3 ) reporting bureaus from their company or any other company that they represent for this debt that I do not owe is a violation of the FCRA and FDCPA and I request that if this debt can not not be validated you must take steps to have all reporting bureaus delete this entry.

I have received no response from Transworld System. It has been over ( 7 ) months from the date of my dispute which is over the 30 days time frame making this company out of compliance. Under advise, I wish to informed Transworld System that I am prepared to take steps and file a small claim in my county small claims court. I would like to make this one last good faith effort and ask for the assistance of the CFPB in obtaining one of two things 1. that this company provide me with full debt validation as per FCRA & FDCPA 2. deletion of this invalidated account from my credit reports",,TRANSWORLD SYSTEMS INC,FL,333XX,,Consent provided,Web,8/10/2018,Closed with explanation,Yes,,2988450
8/4/2013,Debt collection,Federal student loan,Communication tactics,Threatened to take legal action,,,"Navient Solutions, LLC.",PA,17055,Servicemember,,Web,8/4/2013,Closed with explanation,Yes,No,473662
5/3/2016,Prepaid card,Other special purpose card,Fraud or scam,,,,AMERICAN EXPRESS COMPANY,CA,90036,,,Phone,5/5/2016,Closed with explanation,Yes,Yes,1908241
3/21/2012,Credit card,,Application processing delay,,,,DISCOVER BANK,NY,10467,,,Phone,3/22/2012,Closed without relief,Yes,No,38062
10/16/2017,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Southern Management Systems Inc.,FL,32244,,Consent not provided,Web,10/16/2017,Closed with explanation,Yes,,2702519
12/16/2015,Credit reporting,,Credit reporting company's investigation,Investigation took too long,"I have been trying to dispute this XXXX account for several months. Equifax has had this in continual dispute for well over 60 days. I have reached out to XXXX on multiple occasions, and they have NO RECORD of me in their system. They have no way to even pull this account up, as they no longer have the information in their system/never had information attached to me. 

I am a victim of identity theft.",,"EQUIFAX, INC.",TX,760XX,,Consent provided,Web,12/16/2015,Closed with explanation,Yes,Yes,1706664
8/24/2018,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,,JPMORGAN CHASE & CO.,MA,02148,,,Referral,8/27/2018,Closed with explanation,Yes,,3002642
3/9/2018,Credit card or prepaid card,Store credit card,Fees or interest,Problem with fees,,,Alliance Data Card Services,NY,11215,,Consent not provided,Web,3/9/2018,Closed with explanation,Yes,,2837890
2/28/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,"Southwest Credit Systems, L.P.",NJ,081XX,,,Web,2/28/2015,Closed,Yes,No,1261898
4/30/2015,Credit card,,Identity theft / Fraud / Embezzlement,,"Was issued a credit for XXXX in XXXXXX/XX/2015 for a fraudulent transaction. Apparently the fraudulent transaction never posted but Bank of America 's credit did. Now, in XXXX, XX/XX/2015, Bank of America decided to charge XXXX dollars back to my card to make up for the credit. My credit card # changed after the fraud and I no longer have access to those statements. However, I do believe the XXXX dollar fraudulent transaction posted and this credit is being reversed for no reason. Also, it is too late and random of an occurrence for them to justly charge me now. This should have been caught months ago.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",RI,,,Consent provided,Web,5/4/2015,Closed with monetary relief,Yes,Yes,1353982
9/26/2016,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,"I am getting a loan from Green Sky, XXXX, GA. They are charging me {$1700.00} on {$5000.00} so the total payment is {$6700.00} I thought 35 % interest was illegal. I have tired to contact Green Sky and there is no respond. Also our FICA score XXXX so that rate seems a little wrong.",Company believes it acted appropriately as authorized by contract or law,"GreenSky, LLC",CA,95969,"Older American, Servicemember",Consent provided,Web,10/28/2016,Closed with explanation,Yes,No,2130792
